"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"135",1.445864,6.400993,4.432408,5.227864,9.925455,8.960957,3.605733,"ID_63","VERIO","samseg","VERIO_samseg"
"136",1.600231,7.126142,5.180036,5.813701,10.313658,8.483442,3.210431,"ID_18","VERIO","samseg","VERIO_samseg"
"137",1.301882,6.059446,4.355365,4.96243,9.80768,6.986232,2.735116,"ID_59","SKYRA","samseg","SKYRA_samseg"
"138",1.753642,7.694133,5.153776,6.125544,10.869079,9.579672,3.328026,"ID_105","VERIO","samseg","VERIO_samseg"
"139",1.568204,7.175353,5.26732,5.873392,10.226854,7.757699,3.150241,"ID_68","VERIO","samseg","VERIO_samseg"
"140",1.644948,7.423092,5.09513,6.051641,10.28333,8.645536,2.926179,"ID_1","SKYRA","samseg","SKYRA_samseg"
"141",1.423984,6.314517,4.757549,5.193277,10.097943,7.732652,3.373341,"ID_110","SKYRA","samseg","SKYRA_samseg"
"142",1.502634,6.691247,4.844161,5.398894,9.961163,7.559915,2.894841,"ID_24","SKYRA","samseg","SKYRA_samseg"
"143",1.337608,6.249715,4.223751,5.022205,9.844485,7.083065,2.866358,"ID_57","VERIO","samseg","VERIO_samseg"
"144",1.300668,5.432242,4.044775,4.256266,11.073359,6.848271,2.929604,"ID_96","VERIO","samseg","VERIO_samseg"
"145",1.765712,7.975425,5.224984,6.512988,11.576869,8.720907,3.685249,"ID_8","SKYRA","samseg","SKYRA_samseg"
"146",1.497351,6.648593,4.841141,5.308043,10.21059,7.069318,2.949004,"ID_62","VERIO","samseg","VERIO_samseg"
"147",1.266163,5.791654,3.941572,4.629533,10.165213,7.62104,2.82121,"ID_7","SKYRA","samseg","SKYRA_samseg"
"148",1.504063,7.01192,4.907925,5.632367,9.874517,8.049272,3.263468,"ID_19","SKYRA","samseg","SKYRA_samseg"
"149",1.814173,7.887909,5.994788,6.560311,10.240886,8.831286,3.852144,"ID_44","VERIO","samseg","VERIO_samseg"
"150",1.481483,6.728636,4.982358,5.54848,9.893467,8.152072,2.989037,"ID_88","VERIO","samseg","VERIO_samseg"
"151",1.693222,7.630526,5.496058,6.211607,10.065685,8.774073,3.615038,"ID_20","SKYRA","samseg","SKYRA_samseg"
"152",1.617481,6.965024,5.530601,5.612231,10.141114,8.463832,3.527968,"ID_111","VERIO","samseg","VERIO_samseg"
"153",1.591093,7.061524,5.06723,5.603377,10.252966,8.258214,3.268311,"ID_25","SKYRA","samseg","SKYRA_samseg"
"154",1.339719,6.125301,4.108318,4.89479,10.165249,7.082616,2.890728,"ID_60","SKYRA","samseg","SKYRA_samseg"
"155",1.383884,6.292161,4.16902,5.114268,10.183442,7.994513,3.039611,"ID_69","VERIO","samseg","VERIO_samseg"
"156",1.197065,5.448677,3.71439,4.297942,10.0319,6.894942,2.458397,"ID_70","VERIO","samseg","VERIO_samseg"
"157",1.690297,7.699046,5.059503,6.170711,10.038757,8.215873,3.360224,"ID_28","SKYRA","samseg","SKYRA_samseg"
"158",1.769626,7.980406,5.388177,6.468519,10.366206,8.960758,3.906851,"ID_23","SKYRA","samseg","SKYRA_samseg"
"159",1.402348,6.471977,4.545462,5.190853,9.990425,8.211164,2.977965,"ID_48","SKYRA","samseg","SKYRA_samseg"
"160",1.657527,7.724969,5.16637,6.142531,9.964713,8.593712,3.342532,"ID_26","VERIO","samseg","VERIO_samseg"
"161",1.747291,7.461738,5.668811,5.870733,10.627869,9.264719,3.634091,"ID_104","VERIO","samseg","VERIO_samseg"
"162",1.373669,6.02784,4.189596,4.908062,10.238467,7.32237,2.869293,"ID_14","SKYRA","samseg","SKYRA_samseg"
"163",1.361166,6.224751,4.51463,4.934512,9.93142,7.653452,3.265012,"ID_49","SKYRA","samseg","SKYRA_samseg"
"164",1.531914,6.814226,4.868066,5.466579,10.076684,8.225764,3.051137,"ID_9","VERIO","samseg","VERIO_samseg"
"165",1.661175,7.416423,5.533135,6.052113,10.358758,8.034268,3.327355,"ID_83","VERIO","samseg","VERIO_samseg"
"166",1.725022,7.541922,5.597259,5.954997,10.14964,8.481067,3.538795,"ID_115","SKYRA","samseg","SKYRA_samseg"
"167",1.518791,6.788428,4.961671,5.558235,10.184442,8.027157,3.356591,"ID_90","SKYRA","samseg","SKYRA_samseg"
"168",1.751367,7.634088,5.153792,6.078635,10.881052,9.361663,3.325883,"ID_105","SKYRA","samseg","SKYRA_samseg"
"169",1.418996,6.473744,4.480444,5.069747,10.025019,7.77926,2.924876,"ID_13","VERIO","samseg","VERIO_samseg"
"170",1.270948,5.834858,3.884197,4.685987,10.150847,7.516715,2.816377,"ID_7","VERIO","samseg","VERIO_samseg"
"171",1.583942,7.376423,4.806017,5.826418,10.310089,8.032485,2.711568,"ID_91","VERIO","samseg","VERIO_samseg"
"172",1.488426,6.663836,4.765684,5.311342,10.254396,7.1443,3.096206,"ID_62","SKYRA","samseg","SKYRA_samseg"
"173",1.682111,7.391257,4.758578,6.002698,10.686713,8.160611,3.197987,"ID_98","SKYRA","samseg","SKYRA_samseg"
"174",1.399597,6.503601,4.403591,5.199809,9.828401,7.447585,2.771392,"ID_38","SKYRA","samseg","SKYRA_samseg"
"175",1.649172,7.657782,5.161054,6.147832,9.990797,9.006785,3.601364,"ID_11","VERIO","samseg","VERIO_samseg"
"176",1.606195,7.257336,5.21997,5.954261,10.429759,8.557169,3.149195,"ID_4","VERIO","samseg","VERIO_samseg"
"177",1.664332,7.479303,4.978756,6.006572,10.139528,8.612373,3.528097,"ID_99","SKYRA","samseg","SKYRA_samseg"
"178",1.651449,7.417601,5.007163,5.928164,10.116949,8.653841,3.606751,"ID_99","VERIO","samseg","VERIO_samseg"
"179",1.318634,6.093401,4.420376,5.030499,9.813389,6.885963,2.765623,"ID_59","VERIO","samseg","VERIO_samseg"
"180",1.412252,6.557844,4.4057,5.355582,10.161604,7.537793,2.7293,"ID_34","VERIO","samseg","VERIO_samseg"
"181",1.474659,6.785584,4.981713,5.571797,9.867953,8.296578,3.038165,"ID_88","SKYRA","samseg","SKYRA_samseg"
"182",1.434818,6.269555,4.603243,5.013846,10.412192,7.788358,2.918209,"ID_27","SKYRA","samseg","SKYRA_samseg"
"183",1.590861,7.193205,4.968024,5.79565,10.149202,8.485136,3.42291,"ID_116","VERIO","samseg","VERIO_samseg"
"184",1.796855,8.048526,5.46805,6.512104,10.847156,7.651531,3.267869,"ID_51","VERIO","samseg","VERIO_samseg"
"185",1.492407,6.821761,4.610009,5.473826,10.15648,8.599848,3.202335,"ID_5","VERIO","samseg","VERIO_samseg"
"186",1.359142,6.218081,4.512878,4.92981,9.912714,7.658158,3.278359,"ID_49","VERIO","samseg","VERIO_samseg"
"187",1.438949,6.512127,4.73846,5.281376,10.360046,7.68713,3.005799,"ID_56","VERIO","samseg","VERIO_samseg"
"188",1.361681,6.269841,4.136355,5.000269,10.445372,7.846389,3.029926,"ID_16","VERIO","samseg","VERIO_samseg"
"189",1.592606,7.24363,4.932068,5.842998,10.154879,8.285982,3.426777,"ID_116","SKYRA","samseg","SKYRA_samseg"
"190",1.78001,8.005081,5.418565,6.488733,10.377808,8.995701,3.877325,"ID_23","VERIO","samseg","VERIO_samseg"
"191",1.431255,6.416186,4.39578,5.254171,10.230671,7.541392,2.931706,"ID_89","VERIO","samseg","VERIO_samseg"
"192",1.532353,7.238866,4.682025,5.874757,10.061644,8.78613,3.512193,"ID_120","VERIO","samseg","VERIO_samseg"
"193",1.668755,7.618305,5.376955,6.055047,10.059639,8.590831,3.356552,"ID_26","SKYRA","samseg","SKYRA_samseg"
"194",1.451082,6.284443,4.021225,5.079273,11.44569,7.502153,3.280043,"ID_31","VERIO","samseg","VERIO_samseg"
"195",1.702027,7.633675,5.529175,6.16321,10.155231,8.763995,3.642434,"ID_87","SKYRA","samseg","SKYRA_samseg"
"196",1.50491,7.112151,4.740499,5.619709,10.049549,8.843083,3.327347,"ID_17","SKYRA","samseg","SKYRA_samseg"
"197",1.446514,6.744707,4.637588,5.502056,9.984026,7.816211,3.083475,"ID_86","VERIO","samseg","VERIO_samseg"
"198",1.680092,7.460629,4.754334,6.026518,10.658593,8.097388,3.219842,"ID_98","VERIO","samseg","VERIO_samseg"
"199",1.439214,6.175562,4.203317,4.933502,10.621712,7.447324,3.430742,"ID_50","VERIO","samseg","VERIO_samseg"
