"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"181",1.383861,6.287464,4.167333,5.113688,10.188023,7.986414,3.029749,"ID_69","VERIO","samseg","VERIO_samseg"
"182",1.198216,5.44425,3.707852,4.291385,10.034845,6.886054,2.447703,"ID_70","VERIO","samseg","VERIO_samseg"
"183",1.686606,7.686159,5.059953,6.166953,10.043498,8.200044,3.348076,"ID_28","SKYRA","samseg","SKYRA_samseg"
"184",1.47378,6.400123,4.60299,5.121329,10.610594,8.556689,3.231536,"ID_119","SKYRA","samseg","SKYRA_samseg"
"185",1.76561,7.968454,5.389902,6.46566,10.365779,8.943001,3.893604,"ID_23","SKYRA","samseg","SKYRA_samseg"
"186",1.402173,6.469089,4.545865,5.192435,9.993144,8.195968,2.966824,"ID_48","SKYRA","samseg","SKYRA_samseg"
"187",1.656102,7.719137,5.174497,6.146471,9.972562,8.582549,3.33301,"ID_26","VERIO","samseg","VERIO_samseg"
"188",1.744846,7.455196,5.67371,5.873803,10.624351,9.246995,3.623913,"ID_104","VERIO","samseg","VERIO_samseg"
"189",1.702381,7.346553,5.566724,5.932742,10.799657,9.068271,3.560327,"ID_43","SKYRA","samseg","SKYRA_samseg"
"190",1.609434,7.133507,4.907443,5.794064,10.624309,8.30332,3.278914,"ID_71","SKYRA","samseg","SKYRA_samseg"
"191",1.372637,6.026515,4.198914,4.915928,10.249205,7.313189,2.859492,"ID_14","SKYRA","samseg","SKYRA_samseg"
"192",1.893156,8.55407,5.73877,7.105759,10.974764,9.338065,3.625794,"ID_35","VERIO","samseg","VERIO_samseg"
"193",1.362188,6.226515,4.515301,4.938209,9.935252,7.639683,3.253393,"ID_49","SKYRA","samseg","SKYRA_samseg"
"194",1.530908,6.809337,4.87259,5.468816,10.075937,8.217411,3.041136,"ID_9","VERIO","samseg","VERIO_samseg"
"195",1.659345,7.411323,5.542983,6.058654,10.356975,8.024208,3.317569,"ID_83","VERIO","samseg","VERIO_samseg"
"196",1.720872,7.528114,5.591677,5.951551,10.136537,8.461146,3.52575,"ID_115","SKYRA","samseg","SKYRA_samseg"
"197",1.51699,6.781659,4.960318,5.557566,10.180162,8.012827,3.344163,"ID_90","SKYRA","samseg","SKYRA_samseg"
"198",1.651603,7.147474,5.341638,5.878407,9.973931,9.337603,3.404837,"ID_85","SKYRA","samseg","SKYRA_samseg"
"199",1.746663,7.62099,5.154113,6.075365,10.884771,9.341278,3.313719,"ID_105","SKYRA","samseg","SKYRA_samseg"
"200",1.41907,6.468312,4.481253,5.065832,10.033519,7.767513,2.914756,"ID_13","VERIO","samseg","VERIO_samseg"
"201",1.271571,5.830265,3.876454,4.682524,10.14682,7.506283,2.805859,"ID_7","VERIO","samseg","VERIO_samseg"
"202",1.582748,7.371164,4.81136,5.83017,10.319445,8.023542,2.70129,"ID_91","VERIO","samseg","VERIO_samseg"
"203",1.526821,6.859193,4.922139,5.522834,10.069512,8.194177,3.286683,"ID_114","VERIO","samseg","VERIO_samseg"
"204",1.48639,6.654328,4.762118,5.310743,10.258791,7.132603,3.085072,"ID_62","SKYRA","samseg","SKYRA_samseg"
